Time;Time Code;Country Name;Country Code;Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG];Multidimensional poverty headcount ratio (% of total population) [SI.POV.MDIM];Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN];Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN];International migrant stock (% of population) [SM.POP.TOTL.ZS];Net migration [SM.POP.NETM]
1960;YR1960;Brazil;BRA;..;..;..;..;..;51401
1960;YR1960;United States;USA;..;..;..;..;..;583458
1961;YR1961;Brazil;BRA;..;..;..;..;..;369
1961;YR1961;United States;USA;..;..;..;..;..;541424
1962;YR1962;Brazil;BRA;..;..;71,1492702853386;15,8595869443941;..;2383
1962;YR1962;United States;USA;..;..;20,6845977204806;23,5529412252051;..;549734
1963;YR1963;Brazil;BRA;..;..;73,75692538064;17,0645100727179;..;1837
1963;YR1963;United States;USA;..;..;21,3708998124771;23,417680770982;..;588381
1964;YR1964;Brazil;BRA;..;..;69,2942091293152;24,1083069403758;..;2787
1964;YR1964;United States;USA;..;..;21,3934532594607;22,2839570188224;..;501115
1965;YR1965;Brazil;BRA;..;..;67,3380646160567;19,8182709605454;..;10232
1965;YR1965;United States;USA;..;..;21,0831048593304;19,6109606737163;..;497365
1966;YR1966;Brazil;BRA;..;..;68,9148590942565;18,8171931179456;..;-6967
1966;YR1966;United States;USA;..;..;21,2681657125;18,7417870407214;..;337814
1967;YR1967;Brazil;BRA;..;..;68,0054225021258;20,0035707116468;..;-268
1967;YR1967;United States;USA;..;..;18,8716334478146;18,2047284590419;..;377776
1968;YR1968;Brazil;BRA;..;..;68,7669676592221;16,3895612554279;..;-6056
1968;YR1968;United States;USA;..;..;16,8940317129741;16,9121852230896;..;502456
1969;YR1969;Brazil;BRA;..;..;64,6203396768154;13,9177561673266;..;-5043
1969;YR1969;United States;USA;..;..;15,0168597935526;15,270191176698;..;669129
1970;YR1970;Brazil;BRA;..;..;63,250158532868;10,9129252819961;..;-3856
1970;YR1970;United States;USA;..;..;15,9994792612271;16,124107249655;..;937473
1971;YR1971;Brazil;BRA;9,0523527170925;..;59,9259809391986;8,89696099442917;..;-14008
1971;YR1971;United States;USA;1,56288701596985;..;16,2803477363861;14,5383669197079;..;914163
1972;YR1972;Brazil;BRA;9,41464258665252;..;62,7107768345501;7,64620521032524;..;-6485
1972;YR1972;United States;USA;4,61182891297302;..;17,8240862861024;13,6801349173059;..;945777
1973;YR1973;Brazil;BRA;11,0551407753012;..;61,7435166047286;10,9172346801696;..;-3826
1973;YR1973;United States;USA;4,34885930532758;..;23,6048800999182;13,7576801708969;..;842220
1974;YR1974;Brazil;BRA;3,50524903349489;..;57,8889466041662;7,58817437415144;..;-6487
1974;YR1974;United States;USA;-5,22342058951114;..;21,0775766513623;11,1839990047221;..;789950
1975;YR1975;Brazil;BRA;1,92229017649829;..;54,08409353435;6,15959481457787;..;-7793
1975;YR1975;United States;USA;-1,29295711962484;..;19,6703409770165;10,8350449084436;..;832170
1976;YR1976;Brazil;BRA;8,27314500953933;..;59,5912497482459;7,85585530225391;..;-15633
1976;YR1976;United States;USA;4,3241109135661;..;19,2129229332525;10,1802974719302;..;760399
1977;YR1977;Brazil;BRA;3,33413665033426;..;61,5943011265199;6,75922175822022;..;8791
1977;YR1977;United States;USA;2,80546315557426;..;18,7144735536295;9,92821648135698;..;1015857
1978;YR1978;Brazil;BRA;0,515136801207916;..;51,9676790617163;10,1174458313833;..;7653
1978;YR1978;United States;USA;4,17061959452967;..;19,9627183190804;9,62169603055356;..;1148506
1979;YR1979;Brazil;BRA;2,66216977669711;..;46,544717380751;11,8559956107463;..;8024
1979;YR1979;United States;USA;-1,9445254895379;..;18,8683337468923;9,17929511957847;..;1119646
1980;YR1980;Brazil;BRA;2,18959307310185;..;46,2633216405115;9,60256806699567;..;11959
1980;YR1980;United States;USA;-2,90529549298854;..;18,2458627853766;8,21976083743851;..;1123144
1981;YR1981;Brazil;BRA;-8,00032526196458;..;41,373800806008;8,7795460604663;..;-14927
1981;YR1981;United States;USA;2,9084281644425;..;18,4830660193139;7,70980087623955;..;719062
1982;YR1982;Brazil;BRA;-2,73152018803624;..;39,6311656684802;8,45621859559949;..;-23807
1982;YR1982;United States;USA;0,51847385319617;..;17,1086103687453;7,86553893007574;..;701091
1983;YR1983;Brazil;BRA;-6,38420989518694;..;40,3111434729673;8,25716521214095;..;-17884
1983;YR1983;United States;USA;1,86633419205617;..;17,8171131037861;7,84581865189515;..;799544
1984;YR1984;Brazil;BRA;4,18655970042727;..;38,7654904795721;9,30653496839704;..;-20225
1984;YR1984;United States;USA;7,25757449052912;..;16,8106615242088;7,17184949901978;..;726016
1985;YR1985;Brazil;BRA;23,8925300185455;..;36,7737093487038;8,96606075350597;..;-13535
1985;YR1985;United States;USA;3,29811217878557;..;13,4873058651409;7,03205406638735;..;759118
1986;YR1986;Brazil;BRA;7,35837136791679;..;34,4142519733537;15,2504466647692;..;-24426
1986;YR1986;United States;USA;2,53941019049367;..;12,597779829208;7,14664696671624;..;684733
1987;YR1987;Brazil;BRA;1,3701434862667;..;32,2939207340769;8,11086077187955;..;-22335
1987;YR1987;United States;USA;2,72987873993532;..;11,6597359877688;6,48048006886337;..;677547
1988;YR1988;Brazil;BRA;-1,64987272878443;..;..;..;..;-11309
1988;YR1988;United States;USA;5,08133792095438;..;..;..;..;759523
1989;YR1989;Brazil;BRA;-7,56513732544677;..;27,2574869801362;9,88072496492476;..;-2800
1989;YR1989;United States;USA;1,09378209506312;..;11,7199820155573;5,71130962138627;..;919737
1990;YR1990;Brazil;BRA;-15,0102289362721;..;27,6883307686545;9,40591655255336;0,530953063465134;6457
1990;YR1990;United States;USA;0,0452544249677942;..;11,0821420329684;5,80746640047511;9,19566042513874;1421775
1991;YR1991;Brazil;BRA;1,08700283089587;..;24,9305704541775;11,2273384847548;..;-30659
1991;YR1991;United States;USA;-0,89332934967365;..;10,4281647974271;5,91463736972724;..;1569223
1992;YR1992;Brazil;BRA;-0,322795330774937;..;25,4000855313584;9,55885730896852;..;-20270
1992;YR1992;United States;USA;2,01993059129006;..;10,8677935311035;5,72090127904871;..;1816509
1993;YR1993;Brazil;BRA;2,2770136941602;..;25,2688059972978;9,72917435659051;..;-21956
1993;YR1993;United States;USA;0,693391456824969;..;10,4464052529352;5,32643627498304;..;1752153
1994;YR1994;Brazil;BRA;5,19879947634337;..;28,9418032890941;10,9308521220609;..;-11642
1994;YR1994;United States;USA;3,33110527512687;..;10,1439524784013;5,03528231040926;..;1806698
1995;YR1995;Brazil;BRA;4,38159268861791;..;28,5099615661989;10,7123315227467;0,45562763292131;-26337
1995;YR1995;United States;USA;2,29382210850626;..;10,5276676539551;4,77976969314125;10,6848170440958;1678815
1996;YR1996;Brazil;BRA;-0,113744360740156;..;29,8988013632821;10,7608758919968;..;-24330
1996;YR1996;United States;USA;3,27791931777874;..;10,6782011659578;4,92434364605042;..;1771618
1997;YR1997;Brazil;BRA;1,41746441229316;..;30,9664994980283;9,0760420804523;..;-20429
1997;YR1997;United States;USA;4,16235066253951;..;9,01745167527805;4,98481660002539;..;1866819
1998;YR1998;Brazil;BRA;-2,49280147009792;..;29,6175199784671;9,65622902657362;..;-22409
1998;YR1998;United States;USA;4,73655352595412;..;8,33791082630046;4,88207534288116;..;1799996
1999;YR1999;Brazil;BRA;-4,0900693488793;..;28,7338632317001;7,88996683261309;..;-26152
1999;YR1999;United States;USA;2,89722903271945;..;7,87646859626434;4,59167749164559;..;1667953
2000;YR2000;Brazil;BRA;4,3102049929101;..;23,2364728342679;6,57400147363878;0,389447556993318;-1761
2000;YR2000;United States;USA;2,8564879524283;..;7,31272072171339;3,92515759512508;12,3063192386484;1479676
2001;YR2001;Brazil;BRA;-0,767999240894696;..;27,4725847081467;5,69552691718608;..;3453
2001;YR2001;United States;USA;-0,21113366739327;..;7,90885942705402;4,24520882218111;..;1335725
2002;YR2002;Brazil;BRA;1,51843537590915;..;27,7626401163879;6,70717515812855;..;6018
2002;YR2002;United States;USA;1,70482260819378;..;8,18039838753732;4,59614092906046;..;1168499
2003;YR2003;Brazil;BRA;-0,180566183124853;..;28,5324118669803;7,01297406489281;..;-16908
2003;YR2003;United States;USA;0,223322898936516;..;8,66070771774829;4,66677652520533;..;1074728
2004;YR2004;Brazil;BRA;4,35236754540591;..;27,8816714191857;4,82199032163775;..;-5390
2004;YR2004;United States;USA;2,97706614594713;..;7,95665354430981;4,37188328255649;..;1200409
2005;YR2005;Brazil;BRA;1,37297526014434;..;25,6748714047216;4,36109710869557;0,338807605548494;-42926
2005;YR2005;United States;USA;2,50867259595609;..;7,46826036430362;4,20217607983639;13,2566831184215;1129462
2006;YR2006;Brazil;BRA;4,19326908643684;..;24,919964870428;4,48300804691799;..;-34007
2006;YR2006;United States;USA;2,49219112790451;..;7,19308934376929;4,18360678451427;..;1113259
2007;YR2007;Brazil;BRA;5,66556187205691;..;26,3199672946763;4,68351433879485;..;-30331
2007;YR2007;United States;USA;-0,539327974656416;..;8,12927872785193;4,34641191135511;..;1108509
2008;YR2008;Brazil;BRA;2,9661311309503;..;27,7025022922255;4,48145348145564;..;-35373
2008;YR2008;United States;USA;-4,03931972682018;..;9,3721160435617;4,39689596912854;..;1095864
2009;YR2009;Brazil;BRA;1,45981868710305;..;34,1353062695048;5,31270462966115;..;-29357
2009;YR2009;United States;USA;-2,04922519224581;..;10,1065095316706;5,43239852842352;..;1031010
2010;YR2010;Brazil;BRA;5,86075991239976;..;30,3357630570466;4,68298925337838;0,298351263974025;16843
2010;YR2010;United States;USA;3,87657007662565;..;9,68903076995625;4,94657479628989;14,2584836388032;1030731
2011;YR2011;Brazil;BRA;4,14383862969636;..;30,4908707615954;4,59566515712799;..;33631
2011;YR2011;United States;USA;1,44753427724325;..;9,78386977328413;5,03802461711288;..;1322433
2012;YR2012;Brazil;BRA;0,805207840998932;..;32,3415443302793;4,8444234992437;..;43451
2012;YR2012;United States;USA;2,84103034296143;..;9,92027838542104;4,89914270722078;..;1323368
2013;YR2013;Brazil;BRA;3,58790782071998;..;35,2969912547616;4,98271862328396;..;35308
2013;YR2013;United States;USA;0,577814877815001;..;10,0077784230892;5,14581033114181;..;1320840
2014;YR2014;Brazil;BRA;-1,31466902329225;..;35,6522920747707;4,98000434939673;..;24940
2014;YR2014;United States;USA;2,18230214623172;..;10,3016018654451;5,52276587352629;..;1250914
2015;YR2015;Brazil;BRA;-4,58192667097993;..;37,9778956806647;5,21313407540425;0,34331320024167;4764
2015;YR2015;United States;USA;3,21435123963356;..;9,96602627105949;5,83172132728094;14,4906535240608;1221849
2016;YR2016;Brazil;BRA;-4,08959365563182;..;37,8781906668221;7,42536207040476;..;82589
2016;YR2016;United States;USA;-0,111701136066529;..;10,5981891528546;6,1193049372905;..;1449371
2017;YR2017;Brazil;BRA;0,60854278336997;..;36,1004202021097;6,32149411569174;..;56362
2017;YR2017;United States;USA;2,13501391311863;..;10,0991842432711;6,08834023504952;..;1377630
2018;YR2018;Brazil;BRA;-0,70923419534769;..;34,6388149937206;5,38447644097633;..;67934
2018;YR2018;United States;USA;1,83304971390592;..;9,40119945637513;5,95676257518906;..;1200796
2019;YR2019;Brazil;BRA;0,793998164626174;..;34,5257195124328;5,39026493215019;..;69186
2019;YR2019;United States;USA;1,63804428315011;..;9,32976891748617;6,18022472683816;..;1158444
2020;YR2020;Brazil;BRA;-4,84128461260993;..;38,9094713157649;6,30010348205256;..;56880
2020;YR2020;United States;USA;-4,89617384017642;..;11,4910564449548;6,77430095157312;..;675560
2021;YR2021;Brazil;BRA;..;..;34,7771632382264;5,43366665102592;..;20376
2021;YR2021;United States;USA;..;..;11,1491430134237;6,61168444273988;..;561580
